Date,Ticker,Status,Entry_Ref,RR_Ratio,Kelly_Pct,Close_Price,Trend_State,RSI,IV_Rank,Crowding_Index,Win_Prob_10d,Risk_Loss_10d,Target_Prob_10d,Target_Median_10d,Win_Prob_20d,Risk_Loss_20d,Target_Prob_20d,Target_Median_20d,Win_Prob_60d,Risk_Loss_60d,Target_Prob_60d,Target_Median_60d,ATR_14,Hard_Stop_Loss,Target_Aggressive,RR_Score,PE_Percentile,IV_Status,SPY_State,Alpha_vs_SPY,Corr_vs_SPY,Action
2026-05-27,AAPL,未持有,310.85,1:1.32,5.7,310.85,bull_core,79.1,42.8,18.2,25.4,25.7,41.2,316.48,21.9,34.9,56.0,322.28,17.7,44.6,78.3,347.68,5.75,302.22,319.48,4.0,62.0,neutral,bull_core,0.09,0.601,持仓
2026-05-26,AAPL,未持有,308.33,1:1.23,4.2,308.33,bull_core,77.6,43.9,15.3,25.7,26.5,39.6,313.64,21.3,36.5,54.0,319.08,17.0,46.5,76.3,341.82,5.81,299.61,317.05,4.0,62.0,neutral,bull_core,0.1,0.603,持仓
2026-05-23,AAPL,未持有,308.82,1:1.23,4.1,308.82,bull_core,78.6,46.1,17.3,25.3,26.1,38.5,313.73,21.4,36.3,54.0,319.75,17.9,46.4,75.0,341.84,5.94,299.91,317.73,4.0,62.0,neutral,bull_core,0.1,0.602,持仓
2026-05-21,AAPL,未持有,304.99,1:1.09,1.8,304.99,bull_core,76.4,45.0,12.9,24.3,27.6,36.7,309.41,19.9,37.9,51.7,314.64,16.1,48.6,72.0,334.48,5.9,296.13,313.85,4.0,62.0,neutral,bull_core,0.07,0.603,持仓
2026-05-20,AAPL,未持有,302.25,1:1.00,0.0,302.25,bull_core,74.7,44.4,9.4,24.3,26.8,36.7,306.5,19.9,37.2,49.3,310.76,15.8,49.0,70.3,330.49,5.96,293.31,311.19,4.0,60.0,neutral,bull_core,0.07,0.606,持仓
2026-05-19,AAPL,未持有,298.97,1:1.00,0.0,298.97,bull_core,72.5,48.3,5.0,24.7,25.7,36.0,303.32,20.8,36.7,50.0,308.05,16.7,49.1,69.5,326.08,6.06,289.88,308.06,4.0,69.0,neutral,bull_core,0.08,0.605,持仓
2026-05-18,AAPL,未持有,297.84,1:1.00,0.0,297.84,bull_core,71.7,52.2,3.3,22.8,26.6,34.1,301.6,18.5,37.9,47.4,305.75,14.5,49.7,68.6,323.47,6.2,288.53,307.15,4.0,69.0,neutral,bull_core,0.05,0.596,持仓
2026-05-15,AAPL,未持有,298.88,1:1.00,0.0,298.88,bull_core,75.2,51.1,10.5,24.0,28.4,36.3,302.87,19.4,38.9,48.8,307.19,15.3,49.9,68.9,324.78,5.93,289.98,307.78,4.0,69.0,neutral,bull_core,0.06,0.612,持仓
2026-05-13,AAPL,未持有,298.87,1:1.00,0.0,298.87,bull_core,75.6,50.6,11.2,23.4,24.6,34.1,303.13,19.5,34.9,47.8,307.3,15.4,47.4,69.1,325.03,6.3,289.41,308.33,4.0,69.0,neutral,bull_core,0.06,0.622,持仓
2026-05-27,AMD,未持有,495.54,1:1.59,8.5,495.54,bull_core,74.1,96.1,56.5,26.6,20.5,44.7,525.76,22.9,29.8,59.4,557.58,19.3,38.4,81.9,705.88,26.06,456.44,534.64,4.0,94.0,expensive,bull_core,0.48,0.609,持仓
2026-05-26,AMD,未持有,503.89,1:1.60,8.7,503.89,bull_core,77.1,96.1,62.5,27.5,20.8,43.4,532.56,23.7,29.3,59.7,566.99,20.7,38.5,82.3,718.95,26.26,464.5,543.28,4.0,94.0,expensive,bull_core,0.46,0.609,持仓
2026-05-23,AMD,未持有,467.51,1:1.39,6.3,467.51,bull_core,72.6,95.0,50.2,27.2,19.7,41.2,492.24,23.6,29.6,56.4,519.98,20.3,38.6,80.9,656.03,25.24,429.65,505.37,4.0,94.0,expensive,bull_core,0.3,0.611,持仓
2026-05-21,AMD,未持有,449.59,1:1.32,5.6,449.59,bull_core,69.9,95.0,45.0,26.6,20.3,40.8,473.13,22.6,30.3,55.8,498.51,19.5,39.4,78.7,619.67,24.73,412.5,486.68,4.0,94.0,expensive,bull_core,0.42,0.615,持仓
2026-05-20,AMD,未持有,447.58,1:1.30,5.1,447.58,bull_core,69.6,95.0,45.0,26.1,19.2,39.2,470.04,22.3,29.1,55.0,496.73,18.8,38.4,78.0,609.97,25.13,409.88,485.28,4.0,93.0,expensive,bull_core,0.43,0.602,持仓
2026-05-19,AMD,未持有,414.05,1:1.00,0.0,414.05,bull_core,63.8,92.2,36.7,25.8,19.3,37.6,433.97,21.3,28.9,53.3,457.73,17.5,39.5,76.3,557.97,24.35,377.53,450.57,4.0,92.0,expensive,bull_core,0.41,0.596,持仓
2026-05-18,AMD,未持有,420.99,1:1.00,0.0,420.99,bull_core,66.2,90.0,30.0,23.7,21.2,36.8,438.86,20.2,30.9,54.4,464.79,17.1,40.3,78.4,573.65,23.5,385.74,456.24,4.0,92.0,expensive,bull_core,0.49,0.597,持仓
2026-05-15,AMD,未持有,436.25,1:1.00,0.0,436.25,bull_core,71.5,83.3,12.9,25.2,23.0,39.5,457.08,21.4,32.9,55.3,481.24,18.0,42.0,78.4,593.17,22.94,401.84,470.66,4.0,92.0,expensive,bull_core,0.52,0.578,持仓
2026-05-13,AMD,未持有,445.5,1:1.00,0.0,445.5,bull_core,76.2,77.2,12.4,26.6,21.6,42.3,468.83,22.8,31.1,58.1,497.78,19.5,39.6,81.5,623.52,23.27,410.59,480.41,4.0,92.0,expensive,bull_core,0.67,0.563,持仓
2026-05-27,AMZN,未持有,271.85,1:1.00,0.0,271.85,bull_core,62.6,1.1,0.0,22.9,31.8,33.6,275.27,18.1,43.8,44.5,278.76,12.8,59.2,60.3,292.48,6.73,261.75,281.95,4.0,38.0,cheap,bull_core,-0.01,0.688,持仓
2026-05-26,AMZN,未持有,265.29,1:1.00,0.0,265.29,bull_core,56.6,6.1,0.0,22.6,31.0,33.1,268.36,18.0,43.8,42.6,271.21,12.8,58.9,56.8,282.13,6.7,255.24,275.34,4.0,38.0,cheap,bull_core,-0.03,0.698,持仓
2026-05-23,AMZN,未持有,266.32,1:1.00,0.0,266.32,bull_core,58.0,5.0,0.0,22.5,31.4,32.3,269.3,17.7,43.6,43.6,272.01,12.4,59.1,57.0,283.44,6.66,256.33,276.31,4.0,38.0,cheap,bull_core,-0.04,0.698,持仓
2026-05-21,AMZN,未持有,268.46,1:1.00,0.0,268.46,bull_core,60.8,6.7,0.0,22.0,31.3,30.9,271.28,16.8,44.8,40.9,273.85,12.0,59.7,56.9,286.05,6.9,258.11,278.81,4.0,38.0,cheap,bull_core,0.0,0.708,持仓
2026-05-20,AMZN,未持有,265.01,1:1.00,0.0,265.01,bull_core,57.7,36.7,0.0,22.4,31.7,31.7,267.52,16.8,45.0,39.9,269.86,11.1,60.8,55.3,280.82,6.81,254.8,275.22,4.0,40.0,cheap,bull_core,-0.0,0.709,持仓
